,score,srcIP,dstIP,max_local,min_local
0,0,91.189.91.97,192.168.224.86,,
1,0,91.189.91.48,192.168.224.86,,
2,0,35.166.186.43,192.168.248.247,,
3,0,34.107.243.93,192.168.224.78,,
4,0,192.168.51.42,192.168.238.20,,
5,0,192.168.51.243,192.168.224.110,,
6,0,192.168.51.242,192.168.224.110,,
7,0,192.168.51.230,192.168.224.110,,
8,0,192.168.51.142,192.168.243.211,,
9,0,192.168.50.6,192.168.224.110,,
10,0,192.168.50.43,192.168.224.110,,
11,0,192.168.50.155,192.168.224.110,,
12,0,192.168.50.120,192.168.224.110,,
13,0,192.168.49.233,192.168.224.110,,
14,0,192.168.47.96,192.168.238.20,,
15,0,192.168.43.54,192.168.226.215,,
16,0,192.168.42.47,192.168.224.110,,
17,0,192.168.42.200,192.168.243.211,,
18,0,192.168.41.97,192.168.224.110,,
19,0,192.168.41.18,192.168.224.110,,
20,0,192.168.41.170,192.168.243.211,,
21,0,192.168.41.170,192.168.224.110,,
22,0,192.168.41.115,192.168.224.110,,
23,0,192.168.40.243,192.168.224.110,,
24,0,192.168.39.141,192.168.224.110,,
25,0,192.168.34.146,192.168.224.110,,
26,0,192.168.34.128,192.168.226.215,,
27,0,192.168.31.252,192.168.224.81,,
28,0,192.168.31.252,192.168.224.110,,
29,0,192.168.31.235,192.168.226.215,,
30,0,192.168.30.180,192.168.224.110,,
31,0,192.168.3.154,192.168.239.15,,
32,0,192.168.28.201,192.168.224.110,,
33,0,192.168.27.23,192.168.224.110,,
34,0,192.168.25.164,192.168.224.110,,
35,0,192.168.249.93,192.168.226.215,,
36,0,192.168.24.9,192.168.224.110,,
37,0,192.168.24.3,192.168.238.20,,
38,0,192.168.224.86,91.189.91.97,,
39,0,192.168.224.86,91.189.91.48,,
40,0,192.168.224.86,185.125.190.98,,
41,0,192.168.224.86,185.125.190.49,,
42,0,192.168.224.86,185.125.190.48,,
43,0,192.168.224.86,148.251.51.34,,
44,0,192.168.224.86,144.48.81.150,,
45,0,192.168.224.86,141.94.96.195,,
46,0,192.168.22.77,192.168.239.105,,
47,0,192.168.22.77,192.168.238.20,,
48,0,192.168.22.174,192.168.224.110,,
49,0,192.168.22.131,192.168.224.110,,
50,0,192.168.21.241,192.168.238.20,,
51,0,192.168.194.80,192.168.226.215,,
52,0,192.168.194.68,192.168.239.15,,
53,0,192.168.194.56,192.168.224.110,,
54,0,192.168.194.32,192.168.224.110,,
55,0,192.168.193.6,192.168.224.81,,
56,0,192.168.193.6,192.168.224.76,,
57,0,192.168.193.68,192.168.243.211,,
58,0,192.168.193.63,192.168.248.180,,
59,0,192.168.193.62,192.168.224.110,,
60,0,192.168.193.254,192.168.224.76,,
61,0,192.168.193.243,192.168.224.74,,
62,0,192.168.193.230,192.168.248.180,,
63,0,192.168.193.176,192.168.224.110,,
64,0,192.168.193.16,192.168.224.110,,
65,0,192.168.193.164,192.168.248.180,,
66,0,192.168.193.162,192.168.224.110,,
67,0,192.168.193.160,192.168.248.180,,
68,0,192.168.193.141,192.168.224.110,,
69,0,192.168.193.135,192.168.248.180,,
70,0,192.168.193.103,192.168.238.20,,
71,0,192.168.193.100,192.168.224.110,,
72,0,192.168.192.57,192.168.239.15,,
73,0,192.168.192.205,192.168.243.211,,
74,0,192.168.192.117,192.168.224.110,,
75,0,192.168.19.211,192.168.224.110,,
76,0,192.168.19.187,192.168.224.110,,
77,0,192.168.19.175,192.168.224.110,,
78,0,192.168.19.174,192.168.224.110,,
79,0,192.168.19.163,192.168.224.110,,
80,0,192.168.19.140,192.168.224.110,,
81,0,192.168.18.93,192.168.224.110,,
82,0,192.168.18.25,192.168.243.211,,
83,0,192.168.18.25,192.168.224.110,,
84,0,192.168.18.114,192.168.224.110,,
85,0,192.168.18.113,192.168.224.110,,
86,0,192.168.17.0,192.168.248.180,,
87,0,192.168.17.0,192.168.224.110,,
88,0,192.168.16.7,192.168.224.110,,
89,0,192.168.16.3,192.168.224.82,,
90,0,192.168.16.3,192.168.224.76,,
91,0,192.168.16.232,192.168.224.110,,
92,0,192.168.16.208,192.168.224.82,,
93,0,192.168.16.154,192.168.224.110,,
94,0,192.168.138.5,192.168.224.110,,
95,0,192.168.112.187,192.168.226.215,,
96,0,192.168.112.187,192.168.224.110,,
97,0,192.168.1.99,192.168.224.110,,
98,0,185.125.190.98,192.168.224.86,,
99,0,185.125.190.49,192.168.224.86,,
100,0,185.125.190.48,192.168.224.86,,
101,0,184.105.99.75,192.168.226.155,,
102,0,148.251.51.34,192.168.224.86,,
103,0,144.48.81.150,192.168.224.86,,
104,0,141.94.96.195,192.168.224.86,,
