,pos,rank,flowName,sim
0,16374,1,141.94.96.71_192.168.224.86,0.6326634665938162
1,16374,2,192.168.23.103_3.108.125.57,0.5968154093106912
2,16374,3,65.0.200.43_192.168.31.81,0.5846042694258016
3,16374,4,192.168.52.161_192.168.93.70,0.5830599658333908
4,16374,5,192.168.31.81_65.0.200.43,0.5829048265630326
5,16374,6,13.232.193.230_192.168.31.81,0.5802962339003439
6,16374,7,3.108.30.176_192.168.28.104,0.5792874051045972
7,16374,8,192.168.50.224_192.168.24.13,0.5791187319520281
8,16374,9,3.95.44.182_192.168.49.170,0.5777805059549801
9,16374,10,192.168.33.142_34.237.73.95,0.5729621421561906
10,16374,11,192.168.25.164_192.168.3.33,0.5679340248859336
11,16374,12,208.115.231.50_192.168.49.245,0.5672653861282915
12,16374,13,192.168.69.141_20.192.44.78,0.5666134619676128
13,16374,14,192.168.42.28_192.168.50.224,0.5643666082386045
14,16374,15,192.168.28.104_3.108.30.176,0.5623039853299596
15,16374,16,163.70.144.60_192.168.31.207,0.560688110999253
16,16374,17,192.168.50.123_52.203.60.66,0.5603599160500754
17,16374,18,3.108.125.57_192.168.23.103,0.5600301190430943
18,16374,19,192.168.51.77_192.168.2.228,0.5595811061634592
19,16374,20,192.168.172.111_163.70.144.16,0.5593146404571946
20,16374,21,192.168.31.81_13.232.193.230,0.5592672923181805
21,16374,22,3.108.125.57_192.168.29.165,0.5591157737583825
22,16374,23,192.168.17.46_192.168.24.162,0.5590874854486909
23,16374,24,3.108.30.176_192.168.22.69,0.5584407397798478
24,16374,25,192.168.22.69_3.108.30.176,0.5566899452914826
25,16374,26,35.186.224.40_192.168.22.83,0.5561766796576252
26,16374,27,192.168.226.0_3.108.30.176,0.555836338053889
27,16374,28,134.224.240.220_192.168.49.141,0.55276018023527
28,16374,29,192.168.226.0_3.108.107.38,0.5523885778784547
29,16374,30,192.168.18.249_138.199.14.91,0.5517013402404815
30,16374,31,192.168.27.48_163.70.144.60,0.5497426676772817
31,16374,32,192.168.32.150_3.7.13.58,0.5497102699677993
32,16374,33,192.168.15.214_192.168.15.216,0.5494029137022246
33,16374,34,192.168.24.162_192.168.22.203,0.5489284811668913
34,16374,35,34.237.73.95_192.168.33.142,0.54809937794071
35,16374,36,13.232.109.2_192.168.33.142,0.5454513706338784
36,16374,37,192.168.16.187_203.23.178.29,0.543199749737296
37,16374,38,3.108.30.176_192.168.32.150,0.542155222623949
38,16374,39,35.174.127.31_192.168.33.142,0.5420659749812037
39,16374,40,192.168.32.150_13.232.193.230,0.5405810989317177
40,16374,41,192.168.29.165_3.108.125.57,0.5393571569282446
41,16374,42,3.7.13.58_192.168.49.138,0.5393562250979872
42,16374,43,35.168.88.244_192.168.23.120,0.5373674909241511
43,16374,44,192.168.42.33_163.70.144.60,0.5372860457768069
44,16374,45,163.70.144.60_192.168.51.73,0.5365620160296838
45,16374,46,192.168.33.142_35.174.127.31,0.5364270051389836
46,16374,47,34.237.73.95_192.168.34.64,0.5360526321916859
47,16374,48,192.168.49.217_104.26.3.186,0.5360249173394638
48,16374,49,192.168.25.164_192.168.3.34,0.5354421740867324
49,16374,50,106.13.168.190_192.168.33.187,0.5342758472908319
50,16374,51,192.168.2.228_192.168.51.77,0.5332129658280776
51,16374,52,192.168.22.52_192.168.246.174,0.5313896116643118
52,16374,53,192.168.168.52_163.70.144.5,0.5307970881487756
53,16374,54,192.168.39.138_3.108.107.38,0.5307527327238329
54,16374,55,3.108.30.176_192.168.226.0,0.5305174128426665
55,16374,56,20.192.44.78_192.168.74.203,0.5300626200985376
56,16374,57,163.70.144.60_192.168.226.224,0.5286005711737676
57,16374,58,192.168.49.138_3.7.13.58,0.5282468322575469
58,16374,59,192.168.224.88_54.145.30.137,0.5276109189067666
59,16374,60,203.23.178.29_192.168.16.187,0.5275898199599307
60,16374,61,192.168.140.141_192.168.3.94,0.5273516495843524
61,16374,62,104.26.3.186_192.168.49.217,0.5271021253121118
62,16374,63,192.168.224.88_162.55.103.190,0.5267230352923635
63,16374,64,192.168.29.165_192.168.20.33,0.5264962144905918
64,16374,65,192.168.22.126_23.203.195.16,0.5264448570131823
65,16374,66,192.168.226.219_3.208.223.162,0.5255943900030711
66,16374,67,192.168.226.0_3.7.13.58,0.5255052672674216
67,16374,68,192.168.28.59_104.108.226.251,0.5243234898567761
68,16374,69,192.168.31.73_192.168.29.165,0.5243202849003978
69,16374,70,20.192.44.78_192.168.54.125,0.5242356790371121
70,16374,71,192.168.22.21_192.168.29.165,0.5236209375305015
71,16374,72,163.70.144.60_192.168.50.84,0.5234665882103137
72,16374,73,192.168.246.145_162.159.130.86,0.5233300126437654
73,16374,74,192.168.29.165_192.168.16.74,0.5231184701097348
74,16374,75,192.168.50.6_162.159.130.86,0.5231071560780445
75,16374,76,192.168.226.89_163.70.144.60,0.5229569895332904
76,16374,77,208.115.231.90_192.168.50.16,0.5222395182152778
77,16374,78,20.192.44.78_192.168.42.203,0.5220077404718935
78,16374,79,138.199.14.91_192.168.18.249,0.5203793765984913
79,16374,80,192.168.140.145_192.168.3.94,0.5198046491015421
80,16374,81,192.168.42.28_192.168.51.128,0.5183030598460953
81,16374,82,192.168.32.158_34.120.52.64,0.5182831827309721
82,16374,83,142.250.182.170_192.168.50.103,0.5176770591841044
83,16374,84,192.168.50.123_104.18.39.102,0.517637893973804
84,16374,85,163.70.144.5_192.168.168.52,0.5167740656938528
85,16374,86,192.168.226.224_163.70.144.60,0.5165484108808892
86,16374,87,192.168.138.27_192.168.3.94,0.5158946038484709
87,16374,88,3.109.12.90_192.168.33.142,0.5155259662412904
88,16374,89,65.0.226.14_192.168.33.142,0.514949912223477
89,16374,90,192.168.15.216_192.168.15.215,0.5146430557062242
90,16374,91,192.168.28.80_57.128.101.86,0.5145013001330612
91,16374,92,13.232.193.230_192.168.32.150,0.5134910615687366
92,16374,93,192.168.30.226_192.168.29.165,0.5131783612355463
93,16374,94,52.98.88.66_192.168.49.198,0.5131214161179015
94,16374,95,163.70.144.16_192.168.172.111,0.5128056742062991
95,16374,96,3.108.125.57_192.168.226.0,0.5125472088145135
96,16374,97,192.168.239.90_163.70.144.60,0.5123548950222361
97,16374,98,192.168.33.187_106.13.168.190,0.5117777207821422
98,16374,99,192.168.93.70_192.168.226.199,0.5112969422187915
99,16374,100,35.186.224.40_192.168.33.118,0.5110866253254627
10000,16401,1,138.199.14.80_192.168.226.55,0.6311001383960826
10001,16401,2,192.168.226.55_138.199.14.80,0.6209880441045611
10002,16401,3,13.232.109.2_192.168.33.142,0.609338128368199
10003,16401,4,192.168.33.171_35.174.127.31,0.6065185386033153
10004,16401,5,192.168.31.81_13.232.193.230,0.6010465495919163
10005,16401,6,34.237.73.95_192.168.34.64,0.5962256085807874
10006,16401,7,142.250.193.42_192.168.17.28,0.5949874418179241
10007,16401,8,192.168.140.123_192.168.3.94,0.5940293461128066
10008,16401,9,192.168.52.161_192.168.93.70,0.5930712742538444
10009,16401,10,192.168.226.0_3.108.30.176,0.5907532698687694
10010,16401,11,3.108.107.38_192.168.226.0,0.5886209489037235
10011,16401,12,142.250.192.170_192.168.246.121,0.5881874821743385
10012,16401,13,192.168.93.70_192.168.52.161,0.5879867667792159
10013,16401,14,192.168.22.21_192.168.29.165,0.5862662580960838
10014,16401,15,192.168.29.165_3.7.13.58,0.5854788864415686
10015,16401,16,192.168.28.80_57.128.101.86,0.5853196592521921
10016,16401,17,192.168.226.0_3.108.107.38,0.5847312342474241
10017,16401,18,192.168.23.103_3.108.46.16,0.5832822689880023
10018,16401,19,192.168.23.32_3.234.91.204,0.5819556212232622
10019,16401,20,192.168.22.101_192.168.29.165,0.5813622278650409
10020,16401,21,192.168.16.74_192.168.29.165,0.5803487917311928
10021,16401,22,192.168.226.0_3.108.125.57,0.5786714894783112
10022,16401,23,192.168.50.224_192.168.24.13,0.5776340754851974
10023,16401,24,192.168.51.10_34.192.123.218,0.576073875987987
10024,16401,25,192.168.29.165_192.168.30.226,0.5755959917765026
10025,16401,26,65.0.200.43_192.168.49.141,0.5749961742556831
10026,16401,27,3.108.30.176_192.168.226.0,0.5735281495807067
10027,16401,28,3.7.13.58_192.168.32.150,0.5727117084193467
10028,16401,29,203.23.178.29_192.168.16.187,0.5705746301385487
10029,16401,30,142.250.206.106_192.168.18.76,0.5684893503125852
10030,16401,31,3.108.125.57_192.168.226.0,0.5679573940002376
10031,16401,32,192.168.3.21_192.168.30.126,0.5662998956082379
10032,16401,33,192.168.29.165_192.168.20.33,0.5650325313758233
10033,16401,34,51.89.42.214_192.168.226.225,0.5627229177678986
10034,16401,35,20.192.44.78_192.168.54.125,0.5606805711439179
10035,16401,36,192.168.93.70_192.168.226.199,0.5605930481104687
10036,16401,37,192.168.30.226_192.168.29.165,0.5605756368179228
10037,16401,38,192.168.246.174_192.168.22.52,0.560328739677439
10038,16401,39,192.168.50.39_163.70.144.60,0.5593745303200207
10039,16401,40,192.168.33.142_34.237.73.95,0.5573887466019175
10040,16401,41,192.168.22.1_208.115.231.70,0.5572921293991951
10041,16401,42,192.168.29.165_3.108.125.57,0.5572110627262981
10042,16401,43,192.168.50.224_172.64.148.154,0.5562381525527047
10043,16401,44,192.168.28.191_192.168.17.131,0.5556773528801496
10044,16401,45,208.115.231.86_192.168.51.10,0.5548638109614934
10045,16401,46,192.168.42.28_192.168.50.224,0.5538777870861963
10046,16401,47,192.168.29.165_192.168.30.223,0.5529807889002364
10047,16401,48,192.168.15.214_192.168.15.216,0.5529179422639704
10048,16401,49,192.168.16.187_203.23.178.29,0.5525224944461102
10049,16401,50,57.128.101.86_192.168.28.80,0.5523513456516334
10050,16401,51,192.168.50.6_162.159.130.86,0.5522956883946881
10051,16401,52,208.115.231.70_192.168.22.1,0.5515340042647998
10052,16401,53,192.168.19.226_192.168.29.165,0.5510112375612853
10053,16401,54,192.168.50.48_34.120.83.142,0.5504619180557889
10054,16401,55,13.232.193.230_192.168.31.81,0.5496458200761254
10055,16401,56,192.168.226.0_3.108.35.59,0.5494551326926832
10056,16401,57,138.199.14.91_192.168.18.249,0.5494339931225968
10057,16401,58,192.168.21.131_46.101.232.103,0.5489869380262434
10058,16401,59,192.168.31.81_3.108.30.176,0.5483621473027781
10059,16401,60,192.168.93.70_192.168.51.10,0.5482006526183032
10060,16401,61,192.168.22.52_192.168.246.174,0.5481824923898948
10061,16401,62,3.109.12.90_192.168.33.142,0.548140805975771
10062,16401,63,192.168.49.233_192.168.57.73,0.5476893186201021
10063,16401,64,172.64.148.154_192.168.50.224,0.547291637582145
10064,16401,65,192.168.25.164_192.168.3.34,0.5462751501816547
10065,16401,66,192.168.29.165_192.168.31.73,0.5461350200714572
10066,16401,67,192.168.51.10_192.168.93.70,0.545605496758445
10067,16401,68,192.168.51.148_163.70.144.60,0.544324454757679
10068,16401,69,34.192.123.218_192.168.51.10,0.5438176799067539
10069,16401,70,3.108.107.38_192.168.49.190,0.5432685232027772
10070,16401,71,13.232.193.230_192.168.49.141,0.5418208468902647
10071,16401,72,3.108.46.16_192.168.23.103,0.5414914096733777
10072,16401,73,192.168.49.141_65.0.200.43,0.5411808094433483
10073,16401,74,192.168.24.162_192.168.17.46,0.5389363199620448
10074,16401,75,192.168.49.245_208.115.231.50,0.5385498761498019
10075,16401,76,192.168.30.223_192.168.29.165,0.5384323385633566
10076,16401,77,192.168.32.4_163.70.144.60,0.5377137810855778
10077,16401,78,3.7.13.58_192.168.29.165,0.5366402999660725
10078,16401,79,192.168.226.199_192.168.65.0,0.5362744092129204
10079,16401,80,192.168.140.140_192.168.3.94,0.5352682846803396
10080,16401,81,192.168.93.70_192.168.50.168,0.5338842296632098
10081,16401,82,208.115.231.90_192.168.50.16,0.5336170849620118
10082,16401,83,192.168.29.165_192.168.16.74,0.5334938673276716
10083,16401,84,192.168.29.165_192.168.22.101,0.5326293065192224
10084,16401,85,192.168.172.245_34.237.73.95,0.532496757721543
10085,16401,86,35.174.127.31_192.168.33.142,0.5303998206390581
10086,16401,87,34.120.83.142_192.168.50.48,0.530337710547257
10087,16401,88,192.168.31.73_192.168.29.165,0.5296550097654396
10088,16401,89,46.101.232.103_192.168.21.131,0.5288175913859695
10089,16401,90,192.168.140.136_192.168.3.94,0.528508867280316
10090,16401,91,163.70.144.60_192.168.32.4,0.5276906765893071
10091,16401,92,192.168.246.145_162.159.130.86,0.5275778296938753
10092,16401,93,52.108.68.27_192.168.50.39,0.5274551897072514
10093,16401,94,3.108.30.176_192.168.31.81,0.5265933032677496
10094,16401,95,192.168.50.168_192.168.93.70,0.5262873315287386
10095,16401,96,13.232.193.230_192.168.32.150,0.5261426906614454
10096,16401,97,3.95.44.182_192.168.49.170,0.5258211988860498
10097,16401,98,192.168.65.0_192.168.51.10,0.5256595373761475
10098,16401,99,35.174.127.31_192.168.33.171,0.5255086155126485
10099,16401,100,192.168.51.10_192.168.65.0,0.5249025460327348
20000,16426,1,192.168.29.165_192.168.19.226,0.6238289872568108
20001,16426,2,3.109.12.90_192.168.33.142,0.6225843243292646
20002,16426,3,35.75.32.93_192.168.49.141,0.6169678301675962
20003,16426,4,192.168.93.70_192.168.226.199,0.6065769292571676
20004,16426,5,3.108.107.38_192.168.226.0,0.6029298468616727
20005,16426,6,52.108.46.20_192.168.20.15,0.6024876621965993
20006,16426,7,13.232.193.230_192.168.49.141,0.6019984462437826
20007,16426,8,51.89.42.214_192.168.226.225,0.5961628461768812
20008,16426,9,192.168.32.4_34.237.73.95,0.5931406539087151
20009,16426,10,3.108.125.57_192.168.33.142,0.590698550539804
20010,16426,11,192.168.30.223_192.168.29.165,0.5894754016554462
20011,16426,12,65.0.200.43_192.168.226.0,0.5893554466081461
20012,16426,13,192.168.23.103_3.108.46.16,0.5868602064133226
20013,16426,14,192.168.31.81_3.108.35.59,0.581686276067018
20014,16426,15,192.168.49.141_13.232.193.230,0.5815430538426035
20015,16426,16,192.168.2.252_192.168.39.141,0.5809348900171937
20016,16426,17,141.94.96.71_192.168.224.86,0.5788303703827441
20017,16426,18,192.168.32.150_3.108.30.176,0.5736955467113297
20018,16426,19,192.168.29.165_192.168.22.21,0.5735625393958584
20019,16426,20,192.168.31.73_192.168.29.165,0.5734243839129632
20020,16426,21,192.168.49.178_34.237.73.95,0.5733639082673795
20021,16426,22,34.237.73.95_192.168.32.4,0.5713176905690837
20022,16426,23,3.7.13.58_192.168.30.126,0.565742637685533
20023,16426,24,192.168.16.27_163.70.144.60,0.565687895511062
20024,16426,25,192.168.226.142_192.168.3.121,0.5639995465791459
20025,16426,26,3.108.107.38_192.168.39.138,0.5623352308643892
20026,16426,27,192.168.50.48_34.120.83.142,0.5619142958338663
20027,16426,28,34.120.52.64_192.168.22.68,0.5602376532164677
20028,16426,29,192.168.49.190_3.108.107.38,0.559758885826471
20029,16426,30,192.168.29.165_192.168.16.74,0.5585976081609545
20030,16426,31,37.187.147.119_192.168.226.160,0.5564265882904377
20031,16426,32,104.18.12.81_192.168.34.72,0.554257375802601
20032,16426,33,208.115.231.50_192.168.49.245,0.5541129674521134
20033,16426,34,192.168.224.88_13.231.190.41,0.5533065503820657
20034,16426,35,192.168.16.74_192.168.29.165,0.5530165971689671
20035,16426,36,192.168.39.138_3.108.107.38,0.5521641355570729
20036,16426,37,104.18.13.81_192.168.43.148,0.5520994501377635
20037,16426,38,3.7.13.58_192.168.32.150,0.5517251673629251
20038,16426,39,13.232.193.230_192.168.32.150,0.5512660668970368
20039,16426,40,192.168.93.70_192.168.93.42,0.5511099531122896
20040,16426,41,192.168.29.165_192.168.30.226,0.5508055379019627
20041,16426,42,192.168.34.72_192.168.93.70,0.5498139737185099
