,pos,rank,flowName,sim
0,25855,1,54.145.30.137_192.168.224.88,0.8155690360484847
1,25855,2,192.168.224.88_213.199.38.97,0.811842777317095
2,25855,3,192.168.224.88_54.145.30.137,0.8101044878183665
3,25855,4,192.168.224.88_13.231.190.41,0.7975044034672472
4,25855,5,192.168.224.88_95.217.108.172,0.795926766158111
5,25855,6,192.168.224.88_44.204.231.75,0.7621083458783898
6,25855,7,192.168.224.88_162.55.103.190,0.7488056415380522
7,25855,8,192.168.224.88_51.91.70.64,0.747060536176423
8,25855,9,44.204.231.75_192.168.224.88,0.7357449777923788
9,25855,10,192.168.224.88_193.42.110.30,0.7329574340886095
10,25855,11,193.42.110.30_192.168.224.88,0.7051843007945989
11,25855,12,13.231.190.41_192.168.224.88,0.6848348875354708
12,25855,13,213.199.38.97_192.168.224.88,0.6698203634097415
13,25855,14,162.55.103.190_192.168.224.88,0.6576479265105731
14,25855,15,192.168.140.154_192.168.3.94,0.6291274254744866
15,25855,16,95.217.108.172_192.168.224.88,0.6042083711896589
16,25855,17,15.235.212.89_192.168.226.50,0.5961264349447181
17,25855,18,3.95.44.182_192.168.49.170,0.5741241247194107
18,25855,19,192.168.226.199_192.168.93.70,0.5714833974826421
19,25855,20,192.168.17.46_192.168.24.162,0.5701896278079385
20,25855,21,192.168.226.219_3.208.223.162,0.570005417360375
21,25855,22,192.168.42.28_192.168.51.128,0.5679995621502723
22,25855,23,192.168.24.162_192.168.22.203,0.5655390361846736
23,25855,24,192.168.246.145_162.159.130.86,0.5540624693343866
24,25855,25,192.168.22.21_192.168.29.165,0.5472724370732637
25,25855,26,192.168.32.150_3.7.13.58,0.5460037503364046
26,25855,27,192.168.140.152_192.168.3.94,0.5451922495879836
27,25855,28,192.168.15.216_192.168.15.215,0.5434444439481475
28,25855,29,37.187.147.119_192.168.226.160,0.5431471873906095
29,25855,30,192.168.23.103_3.108.46.16,0.5416667209572242
30,25855,31,192.168.226.219_18.232.36.208,0.5415021234829436
31,25855,32,192.168.49.190_3.108.107.38,0.5403218879421255
32,25855,33,192.168.24.162_192.168.17.46,0.539646786855942
33,25855,34,192.168.140.141_192.168.3.94,0.5390718123068382
34,25855,35,192.168.49.141_65.0.200.43,0.5387928011821808
35,25855,36,192.168.52.161_192.168.93.70,0.5383885405025072
36,25855,37,192.168.54.125_20.192.44.78,0.5377536212516231
37,25855,38,192.168.3.21_192.168.30.126,0.5369358310464918
38,25855,39,192.168.29.165_3.108.125.57,0.5358968163488722
39,25855,40,3.108.125.57_192.168.33.142,0.5344708436564136
40,25855,41,3.7.13.58_192.168.30.126,0.5334698542335058
41,25855,42,192.168.31.81_65.0.200.43,0.5327520904617907
42,25855,43,192.168.93.70_192.168.226.199,0.5323083586882049
43,25855,44,192.168.1.170_192.168.39.141,0.5320165785276697
44,25855,45,192.168.226.50_188.148.83.134,0.5308112272202524
45,25855,46,65.0.200.43_192.168.31.81,0.5301775025041667
46,25855,47,3.7.13.58_192.168.32.150,0.5278611464750809
47,25855,48,192.168.32.150_13.232.193.230,0.5263611346659375
48,25855,49,65.0.226.14_192.168.33.142,0.5253524828156619
49,25855,50,192.168.16.74_192.168.29.165,0.525264290820866
50,25855,51,192.168.140.123_192.168.3.94,0.525229497374742
51,25855,52,192.168.29.165_192.168.30.223,0.5252000743351107
52,25855,53,192.168.22.101_192.168.29.165,0.5251998853771884
53,25855,54,3.108.30.176_192.168.22.69,0.5230100561966899
54,25855,55,192.168.140.158_192.168.3.94,0.522844194672383
55,25855,56,192.168.30.126_3.7.13.58,0.5227319439433828
56,25855,57,192.168.49.138_3.7.13.58,0.5220634845699722
57,25855,58,192.168.226.199_192.168.65.0,0.5219128502651406
58,25855,59,192.168.65.0_192.168.226.199,0.5213546190558852
59,25855,60,192.168.140.144_192.168.3.94,0.5211829503489666
60,25855,61,192.168.31.81_13.232.193.230,0.5209562272487351
61,25855,62,192.168.3.91_192.168.39.141,0.5208916269480991
62,25855,63,192.168.226.50_91.227.52.86,0.5208023810997237
63,25855,64,54.165.98.184_192.168.34.130,0.51913887863478
64,25855,65,3.108.107.38_192.168.226.0,0.5141775995572209
65,25855,66,3.7.13.58_192.168.29.165,0.5139913498177598
66,25855,67,192.168.52.8_163.70.144.60,0.5137705663989337
67,25855,68,3.109.12.90_192.168.33.142,0.5130590295738164
68,25855,69,192.168.25.164_192.168.3.67,0.5120700757549717
69,25855,70,192.168.140.138_192.168.3.94,0.5115160446946799
70,25855,71,192.168.226.0_3.108.35.59,0.5104027769816806
71,25855,72,192.168.23.103_3.108.125.57,0.509907342814272
72,25855,73,192.168.33.142_3.108.125.57,0.5085777245516182
73,25855,74,192.168.226.0_3.108.125.57,0.5076292699147694
74,25855,75,3.108.125.57_192.168.29.165,0.5063183015789273
75,25855,76,192.168.25.164_192.168.3.34,0.5062894969943076
76,25855,77,192.168.50.252_104.18.39.102,0.5046669090854001
77,25855,78,192.168.39.141_192.168.1.170,0.5044941239927155
78,25855,79,3.108.30.176_192.168.31.81,0.5029871869432956
79,25855,80,3.108.30.176_192.168.32.150,0.502484691184186
80,25855,81,192.168.140.140_192.168.3.94,0.5017719575897285
81,25855,82,192.168.42.28_192.168.50.224,0.5017405818312615
82,25855,83,3.108.125.57_192.168.226.0,0.5009464728462991
83,25855,84,18.232.36.208_192.168.226.219,0.5003183274702492
84,25855,85,192.168.93.70_192.168.52.161,0.5003146174302167
85,25855,86,192.168.226.50_31.201.159.5,0.5000120811144834
86,25855,87,192.168.246.174_192.168.22.52,0.4998063244869076
87,25855,88,34.120.52.64_192.168.25.164,0.4979910157237046
88,25855,89,192.168.31.73_192.168.29.165,0.4970766514874947
89,25855,90,192.168.49.141_3.108.35.59,0.4970743455998654
90,25855,91,192.168.22.69_3.108.30.176,0.4966157665633346
91,25855,92,192.168.54.126_192.168.2.228,0.496111981941757
92,25855,93,192.168.30.126_3.108.125.57,0.4960917186466581
93,25855,94,192.168.226.225_51.89.42.214,0.4959692504254221
94,25855,95,192.168.28.104_13.232.193.230,0.4952862843299394
95,25855,96,65.0.200.43_192.168.49.141,0.4947395572396402
96,25855,97,34.120.52.64_192.168.31.168,0.4945190722803751
97,25855,98,192.168.29.165_192.168.19.226,0.4944149188969162
98,25855,99,34.120.83.142_192.168.50.48,0.4942533437130697
99,25855,100,192.168.31.81_3.108.30.176,0.4942379681463442
10000,25896,1,192.168.224.88_213.199.38.97,0.7907193834023136
10001,25896,2,192.168.224.88_193.42.110.30,0.7771952102460097
10002,25896,3,192.168.224.88_95.217.108.172,0.7703068666430248
10003,25896,4,192.168.224.88_13.231.190.41,0.7442194754647743
10004,25896,5,192.168.224.88_162.55.103.190,0.7432624087827947
10005,25896,6,192.168.224.88_51.91.70.64,0.737024998753126
10006,25896,7,192.168.224.88_44.204.231.75,0.7369932542206542
10007,25896,8,192.168.224.88_54.145.30.137,0.7303886697878988
10008,25896,9,13.231.190.41_192.168.224.88,0.6724176308136526
10009,25896,10,193.42.110.30_192.168.224.88,0.6525611897173945
10010,25896,11,95.217.108.172_192.168.224.88,0.6416874471825399
10011,25896,12,54.145.30.137_192.168.224.88,0.6313015636829468
10012,25896,13,213.199.38.97_192.168.224.88,0.617310995697589
10013,25896,14,162.55.103.190_192.168.224.88,0.6128829901384442
10014,25896,15,192.168.226.0_3.108.107.38,0.5843982872129323
10015,25896,16,192.168.226.0_3.108.30.176,0.5743790958944696
10016,25896,17,3.108.30.176_192.168.226.0,0.5670189103871824
10017,25896,18,192.168.224.105_203.23.178.51,0.5598711163042128
10018,25896,19,44.204.231.75_192.168.224.88,0.552910665737518
10019,25896,20,192.168.39.138_3.108.107.38,0.5483885163356627
10020,25896,21,3.108.107.38_192.168.39.138,0.5418950027551657
10021,25896,22,3.108.125.57_192.168.226.0,0.540435116755044
10022,25896,23,3.108.107.38_192.168.226.0,0.5359822053361621
10023,25896,24,34.237.73.95_192.168.172.245,0.532162249014808
10024,25896,25,192.168.49.233_192.168.57.73,0.5248152498545645
10025,25896,26,192.168.30.226_192.168.29.165,0.5191388333604681
10026,25896,27,192.168.226.199_192.168.65.0,0.5181990944729667
10027,25896,28,192.168.29.165_3.7.13.58,0.5157726798669382
10028,25896,29,192.168.31.81_3.108.30.176,0.51412104972993
10029,25896,30,192.168.226.0_3.108.125.57,0.5112450353355097
10030,25896,31,192.168.172.245_34.237.73.95,0.5106829062133715
10031,25896,32,192.168.20.33_192.168.29.165,0.5103276458288564
10032,25896,33,192.168.93.70_192.168.52.161,0.5096901225550119
10033,25896,34,192.168.25.164_192.168.3.67,0.508800062997494
10034,25896,35,192.168.30.223_192.168.29.165,0.5052462326918215
10035,25896,36,192.168.42.28_192.168.50.224,0.5028365660011418
10036,25896,37,13.232.109.2_192.168.33.142,0.5024403121347503
10037,25896,38,3.7.13.58_192.168.226.0,0.5010168302829788
10038,25896,39,192.168.49.141_65.0.200.43,0.5001577663261668
10039,25896,40,192.168.226.55_138.199.14.80,0.4988648180933449
10040,25896,41,192.168.49.141_13.232.193.230,0.4976254745747945
10041,25896,42,3.108.30.176_192.168.31.81,0.4951416580764713
10042,25896,43,192.168.65.0_192.168.226.199,0.495139859165337
10043,25896,44,192.168.19.175_192.168.17.131,0.4927045267346763
10044,25896,45,3.7.13.58_192.168.49.138,0.4922943562038025
10045,25896,46,192.168.19.226_192.168.29.165,0.4921567389294521
10046,25896,47,35.174.127.31_192.168.33.142,0.4911557540468345
10047,25896,48,52.108.46.20_192.168.226.89,0.4906411062027037
10048,25896,49,37.187.147.119_192.168.226.160,0.4890230525403864
10049,25896,50,3.109.12.90_192.168.33.142,0.4883946844211617
10050,25896,51,192.168.27.57_192.168.17.131,0.4882567235761653
10051,25896,52,192.168.27.253_192.168.17.131,0.4874834897915844
10052,25896,53,192.168.51.10_192.168.93.70,0.4869039147214899
10053,25896,54,3.108.125.57_192.168.29.165,0.4866325968341488
10054,25896,55,192.168.28.104_13.232.193.230,0.4859041235392272
10055,25896,56,3.108.35.59_192.168.49.141,0.4852532745515312
10056,25896,57,208.115.231.86_192.168.51.10,0.4849213418300001
10057,25896,58,192.168.23.32_3.234.91.204,0.4847112792141164
10058,25896,59,192.168.226.0_3.7.13.58,0.4846725995832368
10059,25896,60,192.168.29.165_192.168.19.226,0.4839840902952274
10060,25896,61,192.168.140.157_192.168.3.94,0.4834490694133123
10061,25896,62,192.168.33.142_35.174.127.31,0.4824668716457883
10062,25896,63,192.168.52.161_192.168.93.70,0.4824349413459027
10063,25896,64,192.168.172.111_163.70.144.16,0.4816260286531202
10064,25896,65,192.168.49.138_3.7.13.58,0.4813580244825794
10065,25896,66,203.23.178.51_192.168.224.105,0.4809437999717057
10066,25896,67,192.168.29.165_192.168.20.33,0.4780932989831234
10067,25896,68,192.168.226.50_213.164.208.113,0.4767090058482088
10068,25896,69,192.168.49.190_3.108.107.38,0.4763870691030268
10069,25896,70,192.168.16.74_192.168.29.165,0.4758975263053212
10070,25896,71,65.0.200.43_192.168.49.141,0.4753542589779263
10071,25896,72,192.168.28.104_3.108.30.176,0.4746285440270026
10072,25896,73,192.168.30.126_3.7.13.58,0.4746180578265515
10073,25896,74,192.168.29.165_3.108.125.57,0.4743192076919879
10074,25896,75,192.168.93.70_192.168.51.10,0.4707237444139978
10075,25896,76,192.168.29.165_192.168.30.226,0.4701542046102173
10076,25896,77,3.108.125.57_192.168.23.103,0.4687602802789843
10077,25896,78,192.168.29.165_192.168.22.17,0.4685694267308112
10078,25896,79,192.168.93.70_192.168.226.199,0.4685534617072813
10079,25896,80,192.168.226.199_192.168.93.70,0.4685184755372144
10080,25896,81,192.168.51.10_208.115.231.86,0.4681929518119991
10081,25896,82,192.168.17.131_192.168.28.191,0.4668363628719457
10082,25896,83,192.168.49.141_35.75.32.93,0.466791828581368
10083,25896,84,192.168.50.224_192.168.24.13,0.4666281191331463
10084,25896,85,192.168.29.165_192.168.16.74,0.4658151185695403
10085,25896,86,192.168.140.149_192.168.3.94,0.46559712364294
10086,25896,87,138.199.14.80_192.168.226.55,0.4639295499195873
10087,25896,88,192.168.17.131_192.168.19.175,0.4627319930962296
10088,25896,89,192.168.23.103_3.108.125.57,0.4610196361241132
10089,25896,90,192.168.50.48_34.120.83.142,0.458074017898638
10090,25896,91,192.168.226.142_192.168.3.121,0.4579695989785158
10091,25896,92,192.168.28.191_192.168.17.131,0.457931909083438
10092,25896,93,192.168.17.131_192.168.27.253,0.4575990803721075
10093,25896,94,192.168.29.165_192.168.22.101,0.4559171633371124
10094,25896,95,34.237.73.95_192.168.32.4,0.4548962911726229
10095,25896,96,192.168.22.101_192.168.29.165,0.4537949498091757
10096,25896,97,192.168.29.165_192.168.31.73,0.4518957981810522
10097,25896,98,192.168.3.21_192.168.30.126,0.4510559910986256
10098,25896,99,3.108.30.176_192.168.28.104,0.4503191458717682
10099,25896,100,3.234.91.204_192.168.23.32,0.4502417928171696
20000,25944,1,192.168.224.88_162.55.103.190,0.7743300439126714
20001,25944,2,192.168.224.88_95.217.108.172,0.7685334896113315
20002,25944,3,192.168.224.88_13.231.190.41,0.7617988502690854
20003,25944,4,192.168.224.88_193.42.110.30,0.7488726550440893
20004,25944,5,192.168.224.88_44.204.231.75,0.7461247464610947
20005,25944,6,192.168.224.88_54.145.30.137,0.7215114999128803
20006,25944,7,54.145.30.137_192.168.224.88,0.7119437986368075
20007,25944,8,192.168.224.88_51.91.70.64,0.6976888233160122
20008,25944,9,192.168.224.88_213.199.38.97,0.6903392544551439
20009,25944,10,13.231.190.41_192.168.224.88,0.6557271570743498
20010,25944,11,162.55.103.190_192.168.224.88,0.6505270306930627
20011,25944,12,193.42.110.30_192.168.224.88,0.6436796224284663
20012,25944,13,44.204.231.75_192.168.224.88,0.6315152424225958
20013,25944,14,213.199.38.97_192.168.224.88,0.6184807176508953
